seeds: 2149186375 163827995 1217693442 67424215

seed-to-soil map:
3229936931 3770233758 236381937
3646926122 3757559297 12674461
938394995 626913497 352323383
2516043511 0 51589736
3224558845 3632370674 5378086
3154383669 3733142176 3946275
2567633247 1181073360 126906268
0 1307979628 138466492
286338057 1446446120 652056938
3626455276 3737088451 20470846
1290718378 2229802472 3472788
2327189933 569558202 57355295
3026168476 4006615695 128215193
3158329944 3566141773 66228901
3915379752 3026168476 379587544
1627676565 2233275260 461264255
2515844642 385075135 198869
2088940820 385274004 184284198
3819986336 3637748760 95393416
2273225018 979236880 53964915
3466318868 4134830888 160136408
1294191166 51589736 333485399
138466492 1033201795 147871565
3659600583 3405756020 160385753
2384545228 2098503058 131299414

soil-to-fertilizer map:
2991238558 2151391892 144378737
1183223769 2295770629 113964757
1297188526 1089334530 386627390
1089334530 3060803751 93889239
1683815916 3154692990 1140274306
3135617295 2409735386 483920029
4282117858 2138542454 12849438
3619537324 1475961920 662580534
2824090222 2893655415 167148336

fertilizer-to-water map:
1781174267 3172095614 252304554
1777350394 205858418 3823873
3481300219 2900371834 228938690
629285174 3911240322 150964034
4139459951 4244437788 50529508
2729976567 269940901 128857098
910342261 3129310524 42785090
1576648209 1091396587 111088326
1296874963 3585901272 233869698
3710238909 168200356 37658062
1687736535 4154823929 89613859
953127351 4062204356 92619573
552009002 158449435 9750921
2719891798 1038135909 10084769
3223980609 529688260 257319610
2033478821 1532972418 624586061
2858833665 2597021594 303350240
4096284042 1048220678 43175909
626349664 526752750 2935510
794975913 3834497675 58843081
3765796537 1202484913 330487505
853818994 3424400168 56523267
3747896971 3893340756 17899566
1530744661 2157558479 19983260
1045746924 787007870 251128039
132529147 2177541739 419479855
780249208 3819770970 14726705
3163721999 209682291 60258610
2658064882 463387740 61826916
3162183905 525214656 1538094
4189989459 3480923435 104977837
1550727921 132529147 25920288
561759923 398797999 64589741
